sku_id,category,base_price,elasticity,base_daily_units,base_margin_pct
SKU000,Snacks,108.1,-1.81,37.2,0.183
SKU001,Personal Care,129.42,-2.42,3.9,0.207
SKU002,Snacks,191.82,-3.0,23.5,0.181
SKU003,Beverages,164.84,-1.63,26.5,0.173
SKU004,Home Care,27.13,-2.65,6.9,0.154
SKU005,Snacks,292.68,-1.23,8.2,0.161
SKU006,Home Care,315.73,-2.69,18.5,0.185
SKU007,Snacks,66.28,-2.94,38.8,0.161
SKU008,Snacks,202.83,-1.45,25.1,0.268
SKU009,Personal Care,55.83,-2.88,37.5,0.286
SKU010,Home Care,241.84,-2.82,32.8,0.229
SKU011,Snacks,112.81,-1.94,20.3,0.214
SKU012,Beverages,237.61,-1.36,32.0,0.251
SKU013,Dairy,259.91,-2.79,3.7,0.325
SKU014,Dairy,273.65,-2.55,7.0,0.32
SKU015,Personal Care,55.55,-1.57,33.7,0.159
SKU016,Personal Care,322.28,-1.16,32.5,0.186
SKU017,Beverages,95.97,-2.15,11.6,0.197
SKU018,Home Care,32.35,-2.9,22.6,0.2
SKU019,Personal Care,203.1,-3.17,25.4,0.264
SKU020,Beverages,142.4,-2.72,35.1,0.233
SKU021,Snacks,293.83,-2.92,25.3,0.16
SKU022,Snacks,286.72,-1.78,18.3,0.225
SKU023,Dairy,124.66,-2.94,16.8,0.255
SKU024,Personal Care,334.46,-2.14,18.8,0.17
SKU025,Personal Care,116.0,-1.74,27.1,0.317
SKU026,Personal Care,189.97,-1.98,35.1,0.16
SKU027,Home Care,104.47,-2.78,19.8,0.335
SKU028,Snacks,328.89,-1.51,12.2,0.17
SKU029,Snacks,74.32,-1.7,11.8,0.319
SKU030,Beverages,34.82,-1.65,30.6,0.331
SKU031,Personal Care,163.58,-2.92,33.2,0.346
SKU032,Home Care,347.48,-2.94,6.9,0.31
SKU033,Personal Care,314.25,-1.25,5.5,0.306
SKU034,Personal Care,267.04,-2.37,25.0,0.278
SKU035,Dairy,313.96,-2.57,8.4,0.306
SKU036,Snacks,314.84,-2.17,33.5,0.177
SKU037,Personal Care,191.22,-1.81,14.5,0.257
SKU038,Personal Care,124.26,-1.19,8.3,0.253
SKU039,Personal Care,274.76,-2.6,37.1,0.322
