store_id,region,store_tier,footfall_index
S000,North,Metro,1.7193185785729037
S001,West,Tier-1,1.1235002464516435
S002,East,Metro,1.7657164849762645
S003,South,Metro,1.4974593648792318
S004,South,Tier-2,0.7166466675630551
S005,West,Tier-2,0.7656869913665704
S006,North,Tier-2,0.667518613329375
S007,East,Tier-1,1.1753679141969728
S008,North,Tier-1,0.9907822197240026
S009,North,Tier-1,1.0400961153167632
S010,East,Metro,1.508382905440401
S011,West,Metro,1.3129984850586305
S012,East,Tier-1,1.1803504593296212
S013,West,Tier-1,1.0225486138665507
S014,East,Tier-2,0.7013118824664071
S015,West,Tier-1,1.179323198719475
S016,East,Tier-2,0.7468857734831441
S017,North,Tier-2,0.7698654364421426
S018,West,Tier-1,1.0837498950559452
S019,South,Tier-2,0.6555536772353638
S020,East,Tier-2,0.6916295878548281
S021,South,Tier-1,0.8215898183969251
S022,North,Tier-1,0.8612264420501906
S023,West,Tier-2,0.5611165407027877
S024,West,Metro,1.3606607613756445
S025,East,Metro,1.695945814413625
S026,South,Metro,1.3826850267135855
S027,West,Tier-2,0.660292931825864
S028,East,Tier-2,0.8364189712675368
S029,South,Tier-2,0.6625922830385502
S030,South,Tier-2,0.7774391346890441
S031,North,Tier-1,0.9459530827983703
S032,North,Tier-2,0.6784290564238988
S033,East,Metro,1.3719947068214606
S034,West,Metro,1.5186320617838651
S035,North,Tier-2,0.7882323544330264
S036,West,Tier-1,0.8149921301732627
S037,West,Tier-2,0.7456144825723149
S038,South,Tier-2,0.7249622382448891
S039,East,Tier-2,0.6376142546518365
S040,North,Tier-2,0.5481639252892122
S041,West,Tier-2,0.7075735983099563
S042,East,Tier-1,1.0126337030044728
S043,South,Metro,1.6558422907251291
S044,North,Tier-1,1.103605604011368
S045,West,Tier-1,1.364293517067951
S046,South,Tier-1,1.060506321466951
S047,West,Tier-2,0.5925327632747042
S048,East,Tier-1,1.1295804797677922
S049,West,Metro,1.6527992041532238
