date,store_id,sku_id,category,region,store_tier,base_price,promo_price,is_promotional_flag,discount_pct,display_location_type,units_sold,true_demand,inventory_on_hand,is_weekend,is_salary_day,is_holiday,revenue,base_margin_pct,realized_margin_pct,profit
2023-01-01,S000,SKU003,Beverages,North,Metro,164.84,164.84,0,0.0,End-cap,62,62,402,1,1,0,10220.08,0.173,0.173,1768.07
2023-01-01,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,End-cap,93,93,446,1,1,0,22097.73,0.251,0.251,5546.53
2023-01-01,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,22,22,261,1,1,0,2111.34,0.197,0.197,415.93
2023-01-01,S000,SKU020,Beverages,North,Metro,142.4,142.4,0,0.0,,92,92,450,1,1,0,13100.8,0.233,0.233,3052.49
2023-01-01,S000,SKU030,Beverages,North,Metro,34.82,34.82,0,0.0,Shelf-talker,53,53,542,1,1,0,1845.46,0.331,0.331,610.85
2023-01-02,S000,SKU003,Beverages,North,Metro,164.84,164.84,0,0.0,End-cap,55,55,346,0,1,0,9066.2,0.173,0.173,1568.45
2023-01-02,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,,69,69,376,0,1,0,16395.09,0.251,0.251,4115.17
2023-01-02,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,23,23,238,0,1,0,2207.31,0.197,0.197,434.84
2023-01-02,S000,SKU020,Beverages,North,Metro,142.4,142.4,0,0.0,,65,65,385,0,1,0,9256.0,0.233,0.233,2156.65
2023-01-02,S000,SKU030,Beverages,North,Metro,34.82,34.82,0,0.0,End-cap,56,56,486,0,1,0,1949.92,0.331,0.331,645.42
2023-01-03,S000,SKU003,Beverages,North,Metro,164.84,98.9,1,40.0,,78,78,269,0,0,0,7714.2,0.173,0.02,154.28
2023-01-03,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,,45,48,329,0,0,0,10692.45,0.251,0.251,2683.8
2023-01-03,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,20,22,215,0,0,0,1919.4,0.197,0.197,378.12
2023-01-03,S000,SKU020,Beverages,North,Metro,142.4,142.4,0,0.0,,56,58,327,0,0,0,7974.4,0.233,0.233,1858.04
2023-01-03,S000,SKU030,Beverages,North,Metro,34.82,31.34,1,10.0,,82,82,404,0,0,0,2569.88,0.331,0.271,696.44
2023-01-04,S000,SKU003,Beverages,North,Metro,164.84,98.9,1,40.0,,105,105,164,0,0,0,10384.5,0.173,0.02,207.69
2023-01-04,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,,57,60,269,0,0,0,13543.77,0.251,0.251,3399.49
2023-01-04,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,Floor-stack,20,21,194,0,0,0,1919.4,0.197,0.197,378.12
2023-01-04,S000,SKU020,Beverages,North,Metro,142.4,142.4,0,0.0,Shelf-talker,77,81,246,0,0,0,10964.8,0.233,0.233,2554.8
2023-01-04,S000,SKU030,Beverages,North,Metro,34.82,31.34,1,10.0,Shelf-talker,86,86,318,0,0,0,2695.24,0.331,0.271,730.41
2023-01-05,S000,SKU003,Beverages,North,Metro,164.84,98.9,1,40.0,,104,104,60,0,0,0,10285.6,0.173,0.02,205.71
2023-01-05,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,End-cap,57,60,209,0,0,0,13543.77,0.251,0.251,3399.49
2023-01-05,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,22,23,171,0,0,0,2111.34,0.197,0.197,415.93
2023-01-05,S000,SKU020,Beverages,North,Metro,142.4,99.68,1,30.0,End-cap,101,101,145,0,0,0,10067.68,0.233,0.053,533.59
2023-01-05,S000,SKU030,Beverages,North,Metro,34.82,31.34,1,10.0,,70,70,248,0,0,0,2193.8,0.331,0.271,594.52
2023-01-06,S000,SKU003,Beverages,North,Metro,164.84,98.9,1,40.0,,60,90,0,0,0,0,5934.0,0.173,0.02,118.68
2023-01-06,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,,59,62,147,0,0,0,14018.99,0.251,0.251,3518.77
2023-01-06,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,23,24,148,0,0,0,2207.31,0.197,0.197,434.84
2023-01-06,S000,SKU020,Beverages,North,Metro,142.4,99.68,1,30.0,Shelf-talker,145,164,0,0,0,0,14453.6,0.233,0.053,766.04
2023-01-06,S000,SKU030,Beverages,North,Metro,34.82,31.34,1,10.0,End-cap,72,72,176,0,0,0,2256.48,0.331,0.271,611.51
2023-01-07,S000,SKU003,Beverages,North,Metro,164.84,98.9,1,40.0,,0,107,0,1,0,0,0.0,0.173,0.02,0.0
2023-01-07,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,End-cap,79,84,63,1,0,0,18771.19,0.251,0.251,4711.57
2023-01-07,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,27,28,120,1,0,0,2591.19,0.197,0.197,510.46
2023-01-07,S000,SKU020,Beverages,North,Metro,142.4,99.68,1,30.0,,0,221,0,1,0,0,0.0,0.233,0.053,0.0
2023-01-07,S000,SKU030,Beverages,North,Metro,34.82,31.34,1,10.0,Shelf-talker,92,92,84,1,0,0,2883.28,0.331,0.271,781.37
2023-01-08,S000,SKU003,Beverages,North,Metro,164.84,98.9,1,40.0,End-cap,110,110,190,1,0,0,10879.0,0.173,0.02,217.58
2023-01-08,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,Floor-stack,61,63,432,1,0,0,14494.21,0.251,0.251,3638.05
2023-01-08,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,23,24,222,1,0,0,2207.31,0.197,0.197,434.84
2023-01-08,S000,SKU020,Beverages,North,Metro,142.4,99.68,1,30.0,Floor-stack,200,200,321,1,0,0,19936.0,0.233,0.053,1056.61
2023-01-08,S000,SKU030,Beverages,North,Metro,34.82,31.34,1,10.0,,94,94,413,1,0,0,2945.96,0.331,0.271,798.36
2023-01-09,S000,SKU003,Beverages,North,Metro,164.84,98.9,1,40.0,Shelf-talker,89,89,102,0,0,0,8802.1,0.173,0.02,176.04
2023-01-09,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,,59,63,369,0,0,0,14018.99,0.251,0.251,3518.77
2023-01-09,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,21,22,199,0,0,0,2015.37,0.197,0.197,397.03
2023-01-09,S000,SKU020,Beverages,North,Metro,142.4,99.68,1,30.0,,197,197,124,0,0,0,19636.96,0.233,0.053,1040.76
2023-01-09,S000,SKU030,Beverages,North,Metro,34.82,31.34,1,10.0,,111,111,302,0,0,0,3478.74,0.331,0.271,942.74
2023-01-10,S000,SKU003,Beverages,North,Metro,164.84,98.9,1,40.0,,89,89,12,0,0,0,8802.1,0.173,0.02,176.04
2023-01-10,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,,37,39,330,0,0,0,8791.57,0.251,0.251,2206.68
2023-01-10,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,27,29,171,0,0,0,2591.19,0.197,0.197,510.46
2023-01-10,S000,SKU020,Beverages,North,Metro,142.4,99.68,1,30.0,,124,170,0,0,0,0,12360.32,0.233,0.053,655.1
2023-01-10,S000,SKU030,Beverages,North,Metro,34.82,31.34,1,10.0,Shelf-talker,84,84,218,0,0,0,2632.56,0.331,0.271,713.42
2023-01-11,S000,SKU003,Beverages,North,Metro,164.84,164.84,0,0.0,,11,45,0,0,0,0,1813.24,0.173,0.173,313.69
2023-01-11,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,,53,55,274,0,0,0,12593.33,0.251,0.251,3160.93
2023-01-11,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,14,15,156,0,0,0,1343.58,0.197,0.197,264.69
2023-01-11,S000,SKU020,Beverages,North,Metro,142.4,99.68,1,30.0,Floor-stack,0,156,0,0,0,0,0.0,0.233,0.053,0.0
2023-01-11,S000,SKU030,Beverages,North,Metro,34.82,31.34,1,10.0,,80,80,138,0,0,0,2507.2,0.331,0.271,679.45
2023-01-12,S000,SKU003,Beverages,North,Metro,164.84,164.84,0,0.0,End-cap,0,49,0,0,0,0,0.0,0.173,0.173,0.0
2023-01-12,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,,54,54,220,0,0,0,12830.94,0.251,0.251,3220.57
2023-01-12,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,End-cap,22,22,133,0,0,0,2111.34,0.197,0.197,415.93
2023-01-12,S000,SKU020,Beverages,North,Metro,142.4,99.68,1,30.0,End-cap,0,133,0,0,0,0,0.0,0.233,0.053,0.0
2023-01-12,S000,SKU030,Beverages,North,Metro,34.82,34.82,0,0.0,Floor-stack,42,42,96,0,0,0,1462.44,0.331,0.331,484.07
2023-01-13,S000,SKU003,Beverages,North,Metro,164.84,164.84,0,0.0,,0,53,0,0,0,0,0.0,0.173,0.173,0.0
2023-01-13,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,Floor-stack,71,71,149,0,0,0,16870.31,0.251,0.251,4234.45
2023-01-13,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,27,27,106,0,0,0,2591.19,0.197,0.197,510.46
2023-01-13,S000,SKU020,Beverages,North,Metro,142.4,99.68,1,30.0,Floor-stack,0,156,0,0,0,0,0.0,0.233,0.053,0.0
2023-01-13,S000,SKU030,Beverages,North,Metro,34.82,34.82,0,0.0,,42,42,54,0,0,0,1462.44,0.331,0.331,484.07
2023-01-14,S000,SKU003,Beverages,North,Metro,164.84,164.84,0,0.0,Floor-stack,0,45,0,1,0,0,0.0,0.173,0.173,0.0
2023-01-14,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,Floor-stack,68,68,80,1,0,0,16157.48,0.251,0.251,4055.53
2023-01-14,S000,SKU017,Beverages,North,Metro,95.97,95.97,0,0.0,,20,20,86,1,0,0,1919.4,0.197,0.197,378.12
2023-01-14,S000,SKU020,Beverages,North,Metro,142.4,142.4,0,0.0,End-cap,0,87,0,1,0,0,0.0,0.233,0.233,0.0
2023-01-14,S000,SKU030,Beverages,North,Metro,34.82,34.82,0,0.0,,54,65,0,1,0,0,1880.28,0.331,0.331,622.37
2023-01-15,S000,SKU003,Beverages,North,Metro,164.84,164.84,0,0.0,,44,47,334,1,0,0,7252.96,0.173,0.173,1254.76
2023-01-15,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,,73,78,433,1,0,0,17345.53,0.251,0.251,4353.73
2023-01-15,S000,SKU017,Beverages,North,Metro,95.97,57.58,1,40.0,End-cap,67,67,175,1,0,0,3857.86,0.197,0.02,77.16
2023-01-15,S000,SKU020,Beverages,North,Metro,142.4,142.4,0,0.0,,73,77,349,1,0,0,10395.2,0.233,0.233,2422.08
2023-01-15,S000,SKU030,Beverages,North,Metro,34.82,34.82,0,0.0,,77,81,371,1,0,0,2681.14,0.331,0.331,887.46
2023-01-16,S000,SKU003,Beverages,North,Metro,164.84,164.84,0,0.0,,31,32,302,0,0,0,5110.04,0.173,0.173,884.04
2023-01-16,S000,SKU012,Beverages,North,Metro,237.61,237.61,0,0.0,Floor-stack,37,39,395,0,0,0,8791.57,0.251,0.251,2206.68
2023-01-16,S000,SKU017,Beverages,North,Metro,95.97,57.58,1,40.0,,55,55,120,0,0,0,3166.9,0.197,0.02,63.34
2023-01-16,S000,SKU020,Beverages,North,Metro,142.4,142.4,0,0.0,,52,54,296,0,0,0,7404.8,0.233,0.233,1725.32
2023-01-16,S000,SKU030,Beverages,North,Metro,34.82,34.82,0,0.0,,49,52,319,0,0,0,1706.18,0.331,0.331,564.75
